Name,Type,Manufacturer,Year,Notes,Country
2X,Minibus,Power Vehicle Innovation,2011,Electric,France
3Tr,Single deck,Škoda Transportation,1941 to 1948,Trolleybus,Czech Republic
4X,Single deck,Power Vehicle Innovation,,Electric,France
6Tr,Single deck,Škoda Transportation,1949,Trolleybus,Czech Republic
7Tr,Single deck,Škoda Transportation,1950 to 1955,Trolleybus,Czech Republic
8Tr,Single deck,Škoda Transportation,1956 to 1961,Trolleybus,Czech Republic
9Tr,Single deck,Škoda Transportation,1958 to 1982,Trolleybus,Czech Republic
12M,Single deck,Ashok Leyland,,,India
14Tr,Single deck,Škoda Transportation,1981 to 2003,Trolleybus,Czech Republic
15Tr,Single deck,Škoda Transportation,1988 to 2004,Articulated trolleybus,Czech Republic
17Tr,Single deck,Škoda Transportation,1987 to 1990,Trolleybus,Czech Republic
21Ab,Single deck,Škoda Transportation,1995 to 2001,,Czech Republic
21Tr,Single deck,Škoda Transportation,1995 to 2004,Trolleybus,Czech Republic
22Tr,Single deck,Škoda Transportation,1993 to 2004,Articulated trolleybus,Czech Republic
24.310/24.350,Double deck,MAN Truck & Bus,1998,,Germany
24Tr Irisbus,Single deck,Škoda TransportationIrisbus,2003 to 2014,Trolleybus,Czech Republic
25Tr Irisbus,Single deck,Škoda TransportationIrisbus,2004 to 2014,Articulated trolleybus,Czech Republic
26Tr Solaris,Single deck,Škoda TransportationSolaris,2009 to present,Trolleybus,Czech Republic
27Tr Solaris,Single deck,Škoda TransportationSolaris,2009 to present,Articulated trolleybus,Czech Republic
28Tr Solaris,Single deck,Škoda TransportationSolaris,2008 to present,Trolleybus,Czech Republic
30,Single deck,Ikarus,1951 to 1957,,Hungary
30Tr SOR,Single deck,Škoda TransportationSOR Libchavy,2011 to present,Trolleybus,Czech Republic
31,Single deck,Ikarus,1954 to 1959,,Hungary
31Tr SOR,Single deck,Škoda TransportationSOR Libchavy,2010 to present,Articulated trolleybus,Czech Republic
32Tr SOR,Single deck,Škoda TransportationSOR Libchavy,,Trolleybus,Czech Republic
33Tr SOR,Single deck,Škoda TransportationSOR Libchavy,,Articulated trolleybus,Czech Republic
35Tr,Single deck,Škoda TransportationIveco,,Articulated trolleybus,Czech Republic
55,Single deck,Ikarus,1955 to 1973,,Hungary
